transaction_date	avg_gas_price_gwei
2025-03-25	1.8437034839035382
2025-03-24	2.0913522713260191
2025-03-23	1.6416678492065562
2025-03-22	2.0448242206588927
2025-03-21	1.8822642168653567
2025-03-20	2.2154713402425164
2025-03-19	2.6912358804717327
2025-03-18	2.2155253766216418
2025-03-17	2.3912797289317518
2025-03-16	2.2119548563634805
2025-03-15	1.9779072587241937
2025-03-14	2.4075530788058934
2025-03-13	2.5479748091193262
2025-03-12	2.73466332893008
2025-03-11	4.5824186321737184
2025-03-10	6.3429539422365453
2025-03-09	2.5477688234778264
2025-03-08	2.2937644213802342
2025-03-07	3.0071712946312648
2025-03-06	2.6539033008423338
2025-03-05	2.4573709651667532
2025-03-04	4.3415219889088661
2025-03-03	3.4347265005136216
2025-03-02	7.3776217841365233
2025-03-01	2.2602112860488375
2025-02-28	4.4946948450068378
2025-02-27	2.2662068862602096
2025-02-26	3.1456821973315572
2025-02-25	5.08670491271298
2025-02-24	3.0221741246894327
